canton,casos,tasa,lat,lng
San Jose Central      ,447,133.8403497,9.927665,-84.090686
Escazu          ,14,21.00462102,9.920626,-84.146503
Desamparados,109,46.70894755,9.896799,-84.061728
Puriscal             ,54,148.8751654,9.849866,-84.315897
Aserri,7,11.52453079,9.864283,-84.093698
Mora       ,23,79.29120557,9.874166,-84.282222
Goicoechea ,31,23.44754557,9.948091,-84.050238
Santa Ana,36,63.63797066,9.926987,-84.183032
Alajuelita,37,42.17293182,9.900265,-84.098647
Coronado,17,25.02318324,9.970641,-84.001357
Acosta,2,9.44777741,9.799412,-84.163411
Tibas,35,42.94162393,9.964428,-84.077726
Moravia,26,42.81315352,9.963545,-84.046987
Montes de Oca,16,26.06457498,9.930278,-84.050909
Turrubares,73,1132.836747,9.908942,-84.442356
Curridabat,26,34.06128411,9.914271,-84.038958
Perez Zeledon,204,143.6639953,9.367958,-83.688591
Los Santos,8,20.7824596,9.664972,-84.019946
Alajuela Central,1833,624.3166747,10.021996,-84.20416
San Ramon,2,2.257081593,10.091022,-84.470721
Grecia,111,126.628488,10.07397,-84.314887
San Mateo,10,147.3839352,9.940974,-84.527779
Atenas,294,1057.630045,9.97855,-84.374099
Naranjo,66,142.9499675,10.097388,-84.382679
Palmares,1,2.594639475,10.060727,-84.437485
Poas,33,104.4865909,10.077783,-84.246141
Orotina,99,447.9840717,9.919266,-84.52735
San Carlos,53,28.68539697,10.327034,-84.436515
Alfaro Ruiz,1,7.37082627,10.186623,-84.391995
Valverde Vega,0,0,10.089713,-84.347406
Upala,7,13.87127457,10.89821,-85.015533
Los Chiles,2,6.650262685,11.033622,-84.712787
Guatuso,1,5.537405172,10.670561,-84.820225
Cartago Central,6,3.802425948,9.863169,-83.915577
Paraiso,6,9.925886713,9.838101,-83.871309
La Union,11,10.32960841,9.910279,-83.995253
Jimenez,0,0,9.891217,-83.743909
Turrialba,40,54.45659129,9.906616,-83.679557
Alvarado,0,0,9.914469,-83.807702
Oreamuno,5,10.41493084,9.866325,-83.903253
El Guarco,0,0,9.84484,-83.945133
Heredia Central,64,47.30508825,9.997137,-84.118323
Barva,5,11.42178363,10.019013,-84.123899
Santo Domingo,25,53.52172982,9.98044,-84.091343
Santa Barbara,22,55.21672565,10.037087,-84.157463
San Rafael,15,28.99335086,10.014366,-84.098641
San Isidro,7,31.83989083,10.018206,-84.055682
Belen,37,146.2681847,9.979935,-84.184375
Flores,34,145.137881,10.006228,-84.157663
San Pablo,20,66.34819533,10.000422,-84.086791
Sarapiqui,143,198.0115761,10.454166,-84.018964
Liberia,621,885.776231,10.635277,-85.443121
Nicoya,1355,2517.230489,10.144774,-85.453248
Santa Cruz,1584,2518.60332,10.261098,-85.584312
Bagaces,75,336.3077889,10.52724,-85.255612
Carrillo,693,1674.317468,9.868843,-85.480738
Ca–as,495,1607.5082,10.42743,-85.093779
Abangares,1827,9483.027094,10.28117,-84.959584
Tilaran,12,57.01525158,10.456483,-84.971763
Nandayure,106,914.2659997,9.992402,-85.253142
La Cruz,66,268.674944,11.070771,-85.630617
Hojancha,117,1508.31507,10.057663,-85.419484
Puntarenas Central,1434,1099.17064,9.978011,-84.829509
Esparza       ,472,1332.129149,9.961492,-84.700555
Buenos Aires   ,78,155.8223625,9.167475,-83.331814
Montes De Oro   ,523,3850.968264,10.083284,-84.728966
Osa           ,223,736.1679651,8.968251,-83.523174
Aguirre,238,777.1936126,9.430326,-84.163623
Golfito,1036,2409.078225,8.604065,-83.112648
Coto Brus,13,29.58647215,8.822949,-82.96948
Parrita,196,1070.745698,9.518671,-84.330711
Corredores,1198,2420.153128,8.648698,-82.94416
Garabito,141,619.3174331,9.620044,-84.621541
Limon Central,302,307.9590068,9.989205,-83.049529
Pococ’,199,142.1682443,10.215683,-83.786106
Siquirres,26,41.51564022,10.097968,-83.509813
Talamanca,30,76.95464806,9.625683,-82.853265
Matina,41,94.15330914,10.076889,-83.291281
Guacimo,39,77.49473433,10.21286,-83.695556
